date,Article Headline,Article URL,Article Text,overall_sentiment_score,overall_sentiment_label,Stock Open,Stock Close,Stock High,Stock Low,volume,num_trades,adj_close
2022-03-08,Inflation and war disruption will challenge private equity in 2022 after a record-breaking year,https://www.marketwatch.com/story/inflation-and-war-disruption-will-challenge-private-equity-in-2022-after-a-record-breaking-year-11646758019,"Private equity firms topped $1 trillion in buyout activity in 2021, a new record, but inflation and macroeconomic turmoil are changing the landscape in 2022.",-0.098027,Neutral,109.22,108.62,112.58,106.44,5716275.0,65229.0,109.490738
2022-03-09,How Mukesh Ambani outfoxed Amazon in a $3.4-bn deal dispute,https://www.business-standard.com/article/companies/how-mukesh-ambani-outfoxed-amazon-in-a-3-4-bn-deal-dispute-122030900937_1.html,"Reliance jolted Amazon by taking over Future's stores, staff even as the e-commerce giant furiously tried to block formal acquisitions through lawsuits and arbitration across India and Singapore",-0.163895,Somewhat-Bearish,115.23,116.14,117.35,112.9217,3745994.0,44934.0,115.643854
2022-03-10,3 Red-Hot Refining Stocks for Surging Gas Prices,https://www.kiplinger.com/investing/stocks/energy-stocks/604367/red-hot-refining-stocks-for-surging-gas-prices,"If you've recently filled up your tank, you may have noticed that your wallet feels a bit lighter. That's because gasoline prices have surged to a decade-plus high of $4.25 per gallon according to AAA amid a host of factors, the largest of which include the crisis in Ukraine and supply-demand imbala",0.154693,Somewhat-Bullish,113.91,116.86,117.67,112.81,3150513.0,43000.0,115.604927
2022-03-11,Blackstone Whale Trades For March 11,https://www.benzinga.com/markets/options/22/03/26106853/blackstone-whale-trades-for-march-11,"A whale with a lot of money to spend has taken a noticeably bullish stance on Blackstone.
Looking at options history for Blackstone  ( NYSE:BX )  we detected 26 strange trades.
If we consider the specifics of each trade, it is accurate to state that 57% of the investors opened trades with bullish ex",0.004802,Neutral,118.44,116.05,119.03,115.93,2920905.0,38108.0,117.392135
2022-03-14,IX vs. BX: Which Stock Should Value Investors Buy Now?,https://www.zacks.com/stock/news/1881641/ix-vs-bx-which-stock-should-value-investors-buy-now,IX vs. BX: Which Stock Is the Better Value Option?,0.134814,Neutral,115.1,108.76,115.755,108.31,5290734.0,65983.0,110.340413
2022-03-15,"'Why I am leaving Goldman Sachs': On the 10th anniversary of his scathing resignation, Greg Smith says he has found the problem he wants to solve",https://www.marketwatch.com/story/why-i-am-leaving-goldman-sachs-on-the-10th-anniversary-of-his-scathing-resignation-greg-smith-says-he-has-found-the-problem-he-wants-to-solve-11647039785,"Smith is still proud of his famous March 2012 New York Times op-ed, in which he described Goldman's environment as ""toxic and destructive.""",-0.140734,Neutral,110.63,109.72,111.3996,108.38,4266736.0,48827.0,109.57726
2022-03-16,"Sanofi  ( SNY ) , Blackstone Ink Deal for Subcutaneous Sarclisa",https://www.zacks.com/stock/news/1882891/sanofi-sny-blackstone-ink-deal-for-subcutaneous-sarclisa,"Sanofi (SNY) is developing a subcutaneous formulation of its myeloma drug, Sarclisa. A pivotal study is expected to start in the second half of 2022.",0.016792,Neutral,112.69,116.05,117.59,110.64,5934712.0,70195.0,114.816749
2022-03-17,Check Out What Whales Are Doing With Blackstone,https://www.benzinga.com/markets/options/22/03/26192014/check-out-what-whales-are-doing-with-blackstone,"A whale with a lot of money to spend has taken a noticeably bullish stance on Blackstone.
Looking at options history for Blackstone  ( NYSE:BX )  we detected 33 strange trades.
If we consider the specifics of each trade, it is accurate to state that 75% of the investors opened trades with bullish ex",0.138181,Neutral,115.07,119.93,120.6699,114.81,4880261.0,56631.0,119.168693
2022-03-18,What Are Whales Doing With Blackstone,https://www.benzinga.com/markets/options/22/03/26205980/what-are-whales-doing-with-blackstone,"Someone with a lot of money to spend has taken a bullish stance on Blackstone  ( NYSE:BX ) .
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga.
Whether this is an institution or just a wealthy in",0.032733,Neutral,120.73,122.85,123.84,120.1,10510347.0,54498.0,122.788304
2022-03-21,This Is the Future of Oil Investing,https://www.fool.com/investing/2022/03/21/this-is-the-future-of-oil-investing/,The oil and gas industry is at a unique point in its history.,-0.358481,Bearish,122.02,122.62,124.28,120.43,4669759.0,45647.0,122.504997
