date,Article Headline,Article URL,Article Text,overall_sentiment_score,overall_sentiment_label,Stock Open,Stock Close,Stock High,Stock Low,volume,num_trades,adj_close
2022-03-04,Is It Time to Buy the Dow Jones' 3 Worst-Performing February Stocks?,https://www.fool.com/investing/2022/03/04/time-buy-dow-worst-performing-february-stocks/,"Even some of the market's most reliable, stable names have been swept up in the selling floodwaters.",-0.14791,Neutral,322.21,324.26,326.66,319.51,3429120.0,79027.0,323.038
2022-03-07,Merger Arbitrage Mondays - Healthcare Trust Of America To Combine With Healthcare Realty Trust,https://www.benzinga.com/m-a/22/03/26020625/merger-arbitrage-mondays-healthcare-trust-of-america-to-combine-with-healthcare-realty-trust,"Merger activity increased last week with six new deals announced and six deals completed. Three of the six new deals announced were potential deals in the works.
Healthcare Trust of America  ( NYSE: HTA ) 
Founded in 2006, Healthcare Trust of America is a healthcare focused REIT and the largest oper",-0.008047,Neutral,324.2,322.77,329.6,320.11,4347440.0,95993.0,323.177573
2022-03-08,Google Makes a Big Cyber Defense Move,https://www.thestreet.com/technology/google-makes-a-big-cyber-defense-move,Google is scaling up its security operations to keep user data safe on the inter webs.,-0.007525,Neutral,319.75,316.74,328.49,315.95,4803670.0,85907.0,320.890212
2022-03-09,Job openings surge to record 11.26M,https://www.foxbusiness.com/markets/job-openings-jolts-hiring,The U.S. economy is sitting on a record amount of job openings.,0.017681,Neutral,320.0,317.2,322.46,316.92,4207901.0,78982.0,318.732443
2022-03-10,Buy These 3 Funds as Retail Sales Continue to Soar,https://www.zacks.com/stock/news/1880289/buy-these-3-funds-as-retail-sales-continue-to-soar,"February retail sales soar despite rising prices. The rise in sales is likely to help funds like FSRPX, FDFAX and FSHOX.",-0.007141,Neutral,314.36,317.94,318.2503,308.7507,3781940.0,73049.0,313.92864
2022-03-11,All The Stocks That Moved Friday From CNBC's 'Fast Money: Halftime Report',https://www.benzinga.com/news/22/03/26106002/all-the-stocks-that-moved-friday-from-cnbcs-fast-money-halftime-report,"CNBC's 'Fast Money: Halftime Report' delivers market-moving news to investors.
The commentary often moves the stocks mentioned. The information is collected and refined using Benzinga Pro's News Tool. Benzinga Pro users can access this information by using the News tool in any workstation.
Rivian Au",-0.022698,Neutral,319.88,316.79,321.794,316.23,2818066.0,60357.0,317.943294
2022-03-14,Home Depot Whale Trades For March 14,https://www.benzinga.com/markets/options/22/03/26128046/home-depot-whale-trades-for-march-14,"Someone with a lot of money to spend has taken a bearish stance on Home Depot  ( NYSE:HD ) .
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga.
Whether this is an institution or just a wealthy in",0.023165,Neutral,322.91,318.36,324.0,316.21,3436114.0,62950.0,319.152543
2022-03-16,Looking Into Home Depot Inc's Recent Short Interest,https://www.benzinga.com/short-sellers/22/03/26169899/looking-into-home-depot-incs-recent-short-interest,"Home Depot Inc's  ( NYSE:HD )  short percent of float has risen 7.37% since its last report. The company recently reported that it has 10.62 million shares sold short, which is 1.02% of all regular shares that are available for trading. Based on its trading volume, it would take traders 2.3 days to ",-0.3031,Somewhat-Bearish,330.97,330.91,333.95,324.23,3684103.0,76907.0,330.296864
2022-03-17,Target looks to massive solar panels in a California parking lot as a green model to power its stores,https://www.cnbc.com/2022/03/17/targets-solar-panel-carports-at-california-store-may-be-a-green-model.html,One of the retailer's California locations will become its most sustainable store and it may be turned into a new model to power locations across the country.,0.019402,Neutral,329.75,336.36,336.36,327.84,2975486.0,60821.0,333.107747
2022-03-18,Analysts Reveal Their Top Stock Picks To Beat Stagflation And Outperform Choppy Markets,https://www.forbes.com/sites/sergeiklebnikov/2022/03/18/analysts-reveal-their-top-stock-picks-to-beat-stagflation-and-outperform-choppy-markets/,Some of Wall Street's biggest firms now say it's time to buy-here is where they see opportunities.,-0.30928,Somewhat-Bearish,333.63,340.74,340.74,332.305,9310418.0,85465.0,338.284896
2022-03-21,All The Stocks That Moved From CNBC's 'Fast Money: Halftime Report' Monday,https://www.benzinga.com/personal-finance/financial-advisors/22/03/26225245/all-the-stocks-that-moved-from-cnbcs-fast-money-halftime-report-monday,"CNBC's 'Fast Money: Halftime Report' delivers market moving news to investors.
The commentary delivered by hosts of the show often move the stocks mentioned. The information is collected, and refined using Benzinga Pro's News Tool. Benzinga Pro users can access this information by using the News too",-0.032261,Neutral,338.04,329.37,340.69,327.08,4417990.0,101338.0,330.956269
2022-03-22,"How hiring individuals with criminal records can benefit today's workforce, according to an expert",https://www.cnbc.com/2022/03/22/how-hiring-individuals-with-criminal-records-can-benefit-todays-workforce.html,"People with criminal records are historically discriminated against in the workforce. However, experts say now is the perfect time for second chance hiring.",0.057414,Neutral,329.6,329.73,331.3,324.01,4728754.0,94508.0,327.940849
