date,Article Headline,Article URL,Article Text,overall_sentiment_score,overall_sentiment_label,Stock Open,Stock Close,Stock High,Stock Low,volume,num_trades,adj_close
2022-03-04,Implied Volatility Surging for Johnson & Johnson  ( JNJ )  Stock Options,https://www.zacks.com/stock/news/1877469/implied-volatility-surging-for-johnson-johnson-jnj-stock-options,Investors need to pay close attention to Johnson & Johnson (JNJ) stock based on the movements in the options market lately.,-0.205431,Somewhat-Bearish,167.64,169.48,169.86,166.85,5873083.0,82491.0,168.873384
2022-03-07,DuPont Bets On Electronics 3D Printing,https://www.forbes.com/sites/michaelmolitch-hou/2022/03/07/dupont-bets-on-electronics-3d-printing/,DuPont has acquired specialty materials company Rogers. What will it be using its electronics 3D printing materials for?,0.129264,Neutral,168.3,172.21,173.11,167.36,11148316.0,139731.0,171.395156
2022-03-08,JNJ: 5 Stocks to Buy for Stable Income in a Volatile Market,https://stocknews.com/news/jnj-pg-pep-abt-bdx-5-stocks-to-buy-for-stable-income-in-a-volatile/,"The combined concerns around looming interest rate increases, deepening supply chain disruptions and rising oil prices with increasing economic sanctions on Russia have been fostering immense stock market volatility. And if Washington and European allies cease importing oil from Russia, oil prices could skyrocket and with potentially catastrophic economic consequences worldwide.",0.100722,Neutral,171.86,168.72,173.12,168.51,10252017.0,130246.0,170.375653
2022-03-09,Worried About the Stock Market? Here Are 2 Safe Investments to Buy and Hold for Decades,https://www.fool.com/investing/2022/03/09/worried-about-the-stock-market-here-are-2-safe-inv/,These ETFs can balance stability and long-term growth.,0.000463,Neutral,170.01,169.36,170.23,167.89,6920986.0,90670.0,169.329662
2022-03-10,"Biden's COVID program faces uncertainty after funding dropped from bill, and Moderna to trial omicron-specific booster",https://www.marketwatch.com/story/bidens-covid-program-faces-uncertainty-after-funding-dropped-from-bill-and-moderna-to-trial-omicron-specific-booster-11646928381,"President Joe Biden's COVID-19 program faced some uncertainty Thursday, after U.S. lawmakers passed a massive new bill that would fund the federal government for the remainder of the fiscal year, as well as further aid Ukraine, but a last-minute snag resulted in COVID-19 money being dropped.",-0.070546,Neutral,168.56,169.66,170.15,168.075,6009926.0,71832.0,169.253252
2022-03-11,"Oracle  ( ORCL )  Q3 Earnings Miss Estimates, Revenues Up Y/Y",https://www.zacks.com/stock/news/1881022/oracle-orcl-q3-earnings-miss-estimates-revenues-up-yy,"Oracle's (ORCL) fiscal third-quarter performance benefits from upbeat cloud business on the solid adoption of OCI, cloud ERP and Autonomous Database offerings.",0.041704,Neutral,169.13,169.35,171.46,169.02,5008429.0,71534.0,170.081115
2022-03-14,QMed Innovations Featured at LogiMed 2022,https://www.prnewswire.com/news-releases/qmed-innovations-featured-at-logimed-2022-301502006.html,CEO and Founder Vic Nunes will discuss how a data-driven supply chain saves time and money in the surgical suite,0.000313,Neutral,170.68,171.69,174.12,170.35,7305335.0,92983.0,172.257299
2022-03-15,Johnson & Johnson to Host Investor Conference Call on First-Quarter Results,https://investingnews.com/johnson-johnson-to-host-investor-conference-call-on-first-quarter-results/,"Johnson & Johnson  (  NYSE: JNJ  )  will host a conference call for investors at 8:30 a.m.  (  Eastern Time  )  on Tuesday April 19 th to review first-quarter results. Joseph J. Wolk Executive Vice President and Chief Financial Officer and Jessica Moore Vice President, Investor Relations will host the call. The question and answer portion of the call will also include additional members of Johnson & Johnson's executive team.",0.336599,Somewhat-Bullish,173.33,176.14,176.52,172.55,10122115.0,118156.0,175.069861
2022-03-16,Protagonist Therapeutics Earns $25M Milestone Payment From Janssen Biotech,https://www.benzinga.com/general/biotech/22/03/26166765/protagonist-therapeutics-earns-25m-milestone-payment-from-janssen-biotech,"Protagonist Therapeutics  ( NASDAQ: PTGX )  has received a $25 million milestone payment from its collaboration with Janssen Biotech Inc, a unit of Johnson & Johnson  ( NYSE: JNJ ) .
The payment comes after the dosing of the third patient in the Phase 2b FRONTIER 1 clinical trial of PN-235  ( JNJ-77",-0.089538,Neutral,175.33,174.52,176.95,172.56,9085510.0,133278.0,173.98706
2022-03-17,The seventh edition of Sustainability Week will examine how businesses can rise to the challenge of becoming more sustainable,https://www.prnewswire.com/news-releases/the-seventh-edition-of-sustainability-week-will-examine-how-businesses-can-rise-to-the-challenge-of-becoming-more-sustainable-301505187.html,Members of the media are invited to register here,0.048534,Neutral,174.9,176.8,176.84,174.2,7199589.0,78780.0,176.322589
2022-03-18,Multinationals Continuing Sales In Russia Under Mounting Pressure To Take Stronger Action,https://www.forbes.com/sites/lisakim/2022/03/18/multinationals-continuing-sales-in-russia-under-mounting-pressure-to-take-stronger-action/,"Under a new policy outlined by Russia's Economy Ministry, companies that suspend their operations in Russia could risk having their local units taken over by managers appointed by Russian courts, and their shares could be frozen.",-0.135965,Neutral,177.0,174.84,177.0,173.66,13648351.0,97432.0,175.085394
2022-03-21,"Will Another Covid Booster Save Vaccine Stocks Moderna, BioNTech?",https://www.investors.com/news/technology/vaccine-stocks-will-another-covid-booster-be-their-saving-grace/,Vaccine Stocks: Will Another Covid Booster Be Their Saving Grace? Investor's Business Daily,-0.073371,Neutral,174.66,175.83,177.16,174.32,7418925.0,82255.0,175.803083
2022-03-22,Do You Need A Second Booster Shot? Experts Divided Amid Report White House Doesn't Have Funding To Buy Enough For All Americans,https://www.forbes.com/sites/roberthart/2022/03/22/do-you-need-a-second-booster-shot-experts-divided-amid-report-white-house-doesnt-have-funding-to-buy-enough-for-all-americans/,Pfizer and Moderna asked regulators to greenlight fourth doses of Covid vaccine amid reports of waning immunity and ahead of an anticipated uptick in omicron cases.,-0.090986,Neutral,175.83,175.0,176.37,173.91,8323077.0,92162.0,174.812954
2022-03-23,"New Biotech Startup Looks to Take On Pfizer, Moderna",https://www.thestreet.com/investing/new-biotech-startup-looks-to-take-on-pfizer-moderna,Fighting hidden coronavirus variants is like a whack-a-mole game and this company wants to try a new approach.,0.003627,Neutral,175.23,174.34,175.54,174.09,5163014.0,75081.0,174.573035
2022-03-24,FORTUNE Live Media Announces 2022 Events Schedule,https://www.prnewswire.com/news-releases/fortune-live-media-announces-2022-events-schedule-301509301.html,"FORTUNE returns to form with a robust slate of in-person, executive-level conferences",0.389581,Bullish,174.56,175.24,175.54,174.07,4877989.0,62908.0,174.854933
2022-03-25,Why Is Theravance Bio  ( TBPH )  Up 0.4% Since Last Earnings Report?,https://www.zacks.com/stock/news/1887599/why-is-theravance-bio-tbph-up-04-since-last-earnings-report,Theravance Bio (TBPH) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,-0.036941,Neutral,175.69,176.92,177.7,175.22,4780416.0,69115.0,176.636581
2022-03-28,Global Orthopedic Software Market to Garner a Revenue of USD 636.5 Million by 2030 and Grow with a CAGR of 6.6% During 2021-2030; Increasing Adoption of EMRs/EHRs and Surge in Orthopedic Disorders to Promote Market Growth,https://www.benzinga.com/pressreleases/22/03/g26321091/global-orthopedic-software-market-to-garner-a-revenue-of-usd-636-5-million-by-2030-and-grow-with-a,"New York, March  28, 2022   ( GLOBE NEWSWIRE )  -- Post the enactment of the Affordable Care Act  ( ACA ) , also known as Obamacare, in the United States on the 23rd of March 2010 by the then president of the nation, Barack Obama, the healthcare industry, not just in the nation, but on a global leve",0.012482,Neutral,176.65,177.83,178.179,176.35,10714605.0,122161.0,177.329998
2022-03-29,CDC Advises To Mix J&J Covid Vaccine With Pfizer Or Moderna Booster,https://www.forbes.com/sites/zacharysmith/2022/03/29/cdc-advises-to-mix-jj-covid-vaccine-with-pfizer-or-moderna-booster/,"Data show that following up Johnson & Johnson's vaccine with a booster of an mRNA vaccine creates a stronger immune response and lessens the risk of serious side effects, the Centers for Disease Control and Prevention said Tuesday.",0.040436,Neutral,178.62,177.74,179.4,176.8,11899693.0,165020.0,177.722754
2022-03-30,"J&J  ( JNJ )  Gets FDA Nod for HIV Jab, Cabenuva, in Adolescents",https://www.zacks.com/stock/news/1889986/jj-jnj-gets-fda-nod-for-hiv-jab-cabenuva-in-adolescents,The FDA approves Johnson & Johnson's (JNJ) Cabenuva for treating HIV-1 in virologically suppressed adolescents aged 12 years and above.,0.02032,Neutral,178.44,179.59,179.86,177.68,11765553.0,160262.0,179.092408
2022-03-31,Trauma Fixation Devices and Equipment Market Analysis 2022 By The Business Research Company,https://www.prnewswire.com/news-releases/trauma-fixation-devices-and-equipment-market-analysis-2022-by-the-business-research-company-301513999.html,"TBRC's trauma fixation devices and equipment market report gives an analysis on market sizing and forecast, regional outlook, competitive landscape, opportunities, and strategies to take.",0.026072,Neutral,179.59,177.23,180.21,176.98,11468106.0,108155.0,178.424627
2022-04-01,Vaccination after COVID improves immunity; ivermectin fails in major trial,https://www.reuters.com/business/healthcare-pharmaceuticals/vaccination-after-covid-improves-immunity-ivermectin-fails-major-trial-2022-04-01/,April 1  ( Reuters )  - The following is a summary of some recent studies on COVID-19. They include research that warrants further study to corroborate the findings and that has yet to be certified by peer review.,0.415098,Bullish,177.05,178.19,178.43,175.6,6508385.0,91592.0,177.290918
2022-04-04,"West Virginia says J&J, drugmakers caused 'tsunami' of addiction",https://www.aljazeera.com/economy/2022/4/4/west-virginia-says-jj-drugmakers-caused-tsunami-of-addiction,"West Virginia's attorney general on Monday urged a judge to hold Johnson & Johnson, Teva Pharmaceutical Industries Ltd, and AbbVie Inc's Allergan liable for causing a ""tsunami"" of opioid addiction in the state.",-0.096974,Neutral,178.19,176.47,178.19,175.52,6844081.0,93771.0,176.433837
2022-04-05,Rising Cancer Cases Steer Healthcare Nanotechnology Market Growth At A Rate of 14% As Per The Business Research Company's Healthcare Nanotechnology Global Market Report 2022,https://www.benzinga.com/pressreleases/22/04/g26479475/rising-cancer-cases-steer-healthcare-nanotechnology-market-growth-at-a-rate-of-14-as-per-the-busin,"LONDON, April  05, 2022   ( GLOBE NEWSWIRE )  -- According to The Business Research Company's research report on the healthcare nanotechnology market, increasing cancer disease cases are expected to propel the growth of the healthcare nanotechnology market. Nanotechnology is a promising mode of canc",-0.05379,Neutral,176.47,177.61,179.65,176.29,7429613.0,97767.0,178.233344
