date,Article Headline,Article URL,Article Text,overall_sentiment_score,overall_sentiment_label,Stock Open,Stock Close,Stock High,Stock Low,volume,num_trades,adj_close
2022-03-04,McKesson  ( MCK )  Up 4.8% Since Last Earnings Report: Can It Continue?,https://www.zacks.com/stock/news/1877712/mckesson-mck-up-48-since-last-earnings-report-can-it-continue,McKesson (MCK) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,0.077102,Neutral,46.11,47.72,47.79,46.05,9179743.0,95651.0,47.214088
2022-03-07,MSFT: Scoop Up These 3 Dow Jones Stocks Down More Than 8% YTD,https://stocknews.com/news/msft-csco-wba-scoop-up-these-3-dow-jones-stocks-down-more-than/,"The stock market has been rattled since the beginning of 2022 due to the concerns surrounding forthcoming interest rate increases, skyrocketing inflation rates, and escalating war tensions between Russia and Ukraine. Amid the war between Russia and Ukraine, U.S. oil prices spiked to their highest level since 2008, crossing the $130 per barrel level. Consequently, Dow Futures declined more than 300 points.",-0.014077,Neutral,47.44,46.99,48.47,46.95,6386250.0,62415.0,47.388363
2022-03-08,3 High-Yielding Dividend Stocks That Can Make the Most of Your Tax Refund,https://www.fool.com/investing/2022/03/08/3-high-yielding-dividend-stocks-that-can-make-the/,Their payouts will likely rise over the years as well.,0.305768,Somewhat-Bullish,47.2,47.47,48.75,47.14,5296799.0,59945.0,47.772298
2022-03-09,Walgreens Boots Alliance  ( WBA )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/1879898/walgreens-boots-alliance-wba-gains-but-lags-market-what-you-should-know,"Walgreens Boots Alliance (WBA) closed at $48.12 in the latest trading session, marking a +1.37% move from the prior day.",-0.035128,Neutral,48.51,48.12,48.83,47.63,5118207.0,52834.0,48.165788
2022-03-10,Verizon Business and The Paley Center for Media Present:,https://www.benzinga.com/pressreleases/22/03/g26082752/verizon-business-and-the-paley-center-for-media-present-moving-the-dial-from-the-top-harnessing-th,"NEW YORK, March  10, 2022   ( GLOBE NEWSWIRE )  -- Verizon Business and The Paley Center for Media present ""Moving the Dial from the Top: Harnessing the Power of Diversity & Inclusion"" on March 15th from 3:30pm - 4:30pm ET / 12:30pm - 1:30pm PT at the Verizon 5G Lab in New York City  ( virtual optio",0.203929,Somewhat-Bullish,47.56,48.07,48.195,47.1,4793528.0,52179.0,47.719593
2022-03-11,3 Nasdaq 100 Stocks to Buy Hand Over Fist in March,https://www.fool.com/investing/2022/03/11/3-nasdaq-100-stocks-to-buy-hand-over-fist-in-march/,The predominantly growth stock-driven Nasdaq 100 is home to a number of great deals.,0.012068,Neutral,48.42,47.44,48.97,47.38,5504465.0,54515.0,47.918488
2022-03-14,McKesson  ( MCK )  Hits 52-Week High: What's Aiding the Stock?,https://www.zacks.com/stock/news/1881704/mckesson-mck-hits-52-week-high-whats-aiding-the-stock,Investors are optimistic about McKesson's (MCK) strength in its Biologics business.,0.085505,Neutral,47.84,47.91,48.455,47.12,4983368.0,50294.0,47.981376
2022-03-15,Here's Some Really Good News for CVS and Walgreens,https://www.thestreet.com/investing/heres-some-really-good-news-for-cvs-and-walgreens,Spending on health and wellness products is still going strong two years into the pandemic.,0.157739,Somewhat-Bullish,48.14,48.17,48.43,47.625,3666847.0,36208.0,48.042126
2022-03-16,Starbucks is searching for its next CEO. Here's who could be in the running,https://www.cnbc.com/2022/03/16/starbucks-next-ceo-who-could-be-in-the-running.html,"Whoever takes the reins will inherit a business still recovering from the pandemic, particularly in China, and facing a swelling effort by baristas to unionize.",-0.018719,Neutral,48.27,47.38,48.41,46.67,7171120.0,66526.0,47.366192
2022-03-17,Here's Why You Should Buy McKesson  ( MCK )  Stock Right Now,https://www.zacks.com/stock/news/1883527/heres-why-you-should-buy-mckesson-mck-stock-right-now,McKesson (MCK) continues to benefit from strategic partnerships and strength in the Distribution Solutions segment.,0.070926,Neutral,46.95,47.48,47.8184,46.73,5544701.0,51750.0,47.38259
2022-03-18,Markets Rise As S&P 500 Has Best Week Since November 2020,https://www.benzinga.com/news/22/03/26205866/markets-rise-as-s-p-500-has-best-week-since-november-2020,"U.S. indices traded higher Friday as investors continue to weigh Wednesday's Fed rate decision and economic outlook. U.S. weekly jobless claims also came in lower than the prior week.
The S&P 500 gained more than 4% on the week, its best weekly performance since November 2020.
The Nasdaq composite f",-0.192742,Somewhat-Bearish,47.35,47.36,47.45,46.47,11159725.0,62360.0,47.131211
